<file name>,<file type>,<source>,<creator>,<license>
chair_10 integrated into Supermarket.fbx and Workshop.fbx, Model, https://elbolilloduro.itch.io/paquete-de-modelos-psx-3, Elbolilloduro, CC0
box_04.blend integrated into Workshop.fbx, Model, https://craigsnedeker.itch.io/classic64-asset-library, craigsnedeker, CC0
drink_can_soda_2.blend as Soda.fbx, Model, https://craigsnedeker.itch.io/classic64-asset-library, craigsnedeker, CC0
food_snacks_chips_1.blend ntegrated into Supermarket.fbx and Workshop.fbx, Model, https://craigsnedeker.itch.io/classic64-asset-library, craigsnedeker, CC0
